Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
Navio57,30,9,96590,17,13,33,5,73,2009,CG,Porto3,Porto3,1
Navio58,19,9,105523,15,19,13,11,86,2016,CNTR,Porto2,Porto1,0
Navio59,56,15,95664,12,17,27,19,68,2001,GSM,Porto3,Porto2,0
Navio60,57,16,179341,15,15,20,10,55,2008,CNTR,Porto2,Porto4,0
Navio61,46,10,106076,9,18,10,17,96,2007,GS,Porto1,Porto2,1
Navio62,16,15,113180,11,11,16,11,114,1990,CG,Porto1,Porto5,0
Navio63,16,6,50351,13,12,11,5,86,1994,GLP,Porto4,Porto5,0
Navio64,54,12,122787,18,12,31,15,26,2006,CG,Porto3,Porto1,1
Navio65,56,11,188653,19,15,24,9,77,2015,CG,Porto1,Porto2,0
Navio66,50,9,131376,16,9,30,17,96,2018,CG,Porto3,Porto2,1
Navio67,53,6,81613,17,15,32,11,34,2007,GLP,Porto1,Porto4,1
Navio68,26,6,31010,13,15,13,9,15,1997,GL,Porto4,Porto4,0
Navio69,33,7,63979,16,16,27,18,94,1990,GS,Porto1,Porto4,0
Navio70,42,8,108869,15,17,17,6,20,1998,GS,Porto1,Porto2,0
Navio71,15,6,75119,11,13,24,5,114,2010,GSM,Porto2,Porto2,1
Navio72,29,17,85006,13,14,33,14,70,1991,GLP,Porto4,Porto5,0
Navio73,50,17,144168,17,9,34,16,99,2017,GL,Porto5,Porto3,1
Navio74,27,8,138239,14,8,21,9,36,2005,GS,Porto3,Porto4,0
Navio75,57,8,44479,18,8,23,8,35,1999,GSM,Porto5,Porto3,0
Navio76,35,15,188697,13,8,10,14,104,2014,GLP,Porto5,Porto3,0
Navio77,26,12,54081,19,10,10,19,35,1998,GSM,Porto2,Porto1,0
Navio78,19,13,72933,11,11,28,13,79,2015,CNTR,Porto5,Porto2,1
Navio79,21,17,45766,10,9,32,17,37,2017,GS,Porto1,Porto2,1
Navio80,19,14,109309,11,14,27,8,74,1991,GLP,Porto2,Porto5,0
Navio81,18,15,123359,17,12,19,18,43,1998,GSM,Porto2,Porto2,0
Navio82,27,16,121842,9,8,15,12,12,2005,GLP,Porto2,Porto1,0
Navio83,51,14,87611,19,16,22,12,83,2014,CG,Porto4,Porto2,0
Navio84,55,8,74982,14,16,27,19,88,1998,GLP,Porto5,Porto4,0
Navio85,29,10,30947,17,14,33,8,71,2007,GLP,Porto2,Porto4,1
Navio86,30,13,189791,11,19,13,17,49,2010,GLP,Porto1,Porto5,0
Navio87,35,13,158906,15,12,13,7,33,1996,GSM,Porto1,Porto4,0
Navio88,50,17,44590,15,13,12,9,117,2008,GL,Porto2,Porto1,1
Navio89,38,11,82652,13,13,30,18,62,2016,GS,Porto4,Porto2,1
Navio90,30,17,183800,19,15,15,18,79,2005,GLP,Porto3,Porto3,0
Navio91,28,13,177948,10,15,30,12,44,1997,GL,Porto2,Porto2,0
Navio92,36,17,140309,9,17,16,19,105,1991,GSM,Porto3,Porto1,0
Navio93,20,8,177961,18,11,18,12,12,2018,GLP,Porto4,Porto2,0
Navio94,56,10,63130,15,18,10,16,110,2006,CG,Porto2,Porto2,1
Navio95,50,7,32205,13,13,22,14,88,2019,GSM,Porto2,Porto4,1
Navio96,15,7,53185,8,13,16,11,37,2002,CG,Porto1,Porto1,0
Navio97,46,7,124650,11,12,17,14,37,1991,CG,Porto2,Porto4,0
Navio98,20,13,164449,15,18,19,12,74,2019,CG,Porto2,Porto5,0
Navio99,45,15,109176,9,17,16,19,95,2020,GS,Porto2,Porto5,1
Navio100,15,6,165512,8,8,15,16,116,2007,GLP,Porto1,Porto1,0
Navio101,51,15,88883,16,17,14,14,111,1995,CNTR,Porto3,Porto1,0
Navio102,49,16,131810,9,13,17,19,27,2011,GSM,Porto1,Porto5,1
Navio103,44,6,177087,15,19,29,6,82,1995,GL,Porto1,Porto3,0
Navio104,18,8,189673,15,14,25,15,18,2014,GS,Porto2,Porto5,0
Navio105,49,7,54438,14,18,32,16,55,2005,GS,Porto2,Porto2,0
Navio106,57,10,36076,8,15,13,5,23,2013,CNTR,Porto5,Porto5,1
Navio107,28,12,174894,13,8,17,15,30,2011,CG,Porto5,Porto5,0
Navio108,54,6,154885,13,16,34,16,31,2012,CG,Porto4,Porto4,1
Navio109,36,12,49381,14,8,30,6,97,2022,GS,Porto5,Porto1,1
Navio110,24,12,85499,19,19,18,14,11,1999,GS,Porto2,Porto4,0
Navio111,15,16,182655,13,15,28,13,48,2018,CNTR,Porto4,Porto4,0
Navio112,25,8,165770,11,16,32,14,66,2018,GLP,Porto3,Porto4,0
Navio113,58,14,51515,11,16,32,13,85,2000,CNTR,Porto5,Porto2,0
Navio114,38,12,70439,16,17,31,19,34,2011,GL,Porto5,Porto1,1
Navio115,17,12,89525,11,12,24,6,103,2001,CNTR,Porto2,Porto5,0
Navio116,49,11,47310,19,8,17,17,41,2009,GLP,Porto2,Porto2,0
Navio117,50,8,123370,19,11,34,12,31,2005,GSM,Porto1,Porto4,0
Navio118,45,11,195444,17,14,12,9,102,1999,GLP,Porto1,Porto2,0
Navio119,18,6,71504,19,16,12,6,86,2014,CG,Porto5,Porto2,0
Navio120,33,16,83029,11,11,26,13,102,2009,CG,Porto5,Porto4,1
Navio121,50,9,169901,19,12,23,5,114,2004,CNTR,Porto4,Porto4,0
Navio122,35,15,111212,19,12,34,7,75,2021,GLP,Porto5,Porto2,0
Navio123,32,15,75613,11,12,23,19,105,1996,GL,Porto2,Porto2,0
Navio124,42,13,101965,14,19,11,11,64,2019,GLP,Porto2,Porto1,0
Navio125,29,17,112170,18,9,23,9,20,2018,GSM,Porto4,Porto1,1
Navio126,56,17,104907,18,19,20,10,102,2006,GL,Porto3,Porto4,0
Navio127,16,6,58391,12,11,33,11,58,1995,GL,Porto3,Porto4,0
Navio128,51,16,38318,10,16,31,18,116,2008,CNTR,Porto2,Porto2,1
Navio129,25,10,100731,13,16,23,15,111,2007,CNTR,Porto1,Porto3,1
Navio130,37,7,33278,9,11,33,5,31,2016,CNTR,Porto3,Porto1,1
Navio131,58,9,41531,16,10,31,11,85,2013,GSM,Porto1,Porto3,1
Navio132,55,11,99066,17,9,16,14,14,2006,GS,Porto2,Porto2,1
Navio133,26,13,169097,16,12,28,9,112,2011,GSM,Porto2,Porto5,0
Navio134,17,12,170978,13,15,33,16,118,2011,GLP,Porto1,Porto5,0
Navio135,31,17,37208,16,14,17,12,88,2016,GS,Porto2,Porto5,1
Navio136,47,17,167502,11,16,23,6,63,2016,GL,Porto5,Porto5,0
Navio137,15,8,50043,8,8,30,13,109,1994,GLP,Porto2,Porto2,0
Navio138,53,13,59987,14,9,13,18,65,2003,CNTR,Porto5,Porto1,0
Navio139,34,9,165636,11,9,20,19,113,1999,GSM,Porto4,Porto1,0
Navio140,57,10,114932,9,11,13,17,52,1996,CG,Porto1,Porto3,0
Navio141,55,15,34868,19,15,15,10,105,2002,CG,Porto3,Porto4,0
Navio142,28,13,190433,15,16,15,13,53,1995,GS,Porto4,Porto5,0
Navio143,45,6,150511,16,12,32,10,82,2021,CNTR,Porto1,Porto1,1
Navio144,39,6,45165,11,14,11,10,32,2018,GSM,Porto3,Porto2,1
Navio145,17,7,30603,15,19,28,5,49,2008,GS,Porto5,Porto4,0
Navio146,18,14,127903,19,18,10,16,50,2015,CNTR,Porto3,Porto3,0
Navio147,45,9,53763,14,10,22,19,44,2018,CG,Porto5,Porto3,1
Navio148,49,11,134538,15,14,23,12,45,2005,GSM,Porto2,Porto1,0
Navio149,58,16,140106,17,17,12,13,110,2021,CG,Porto2,Porto2,1
Navio150,28,6,68834,14,8,31,19,62,2018,GSM,Porto5,Porto2,1
Navio151,55,7,171535,17,8,28,10,105,2021,GL,Porto4,Porto1,0
Navio152,23,16,50318,14,10,26,5,69,2001,GS,Porto3,Porto1,0
Navio153,34,7,138305,15,17,13,12,46,2015,GS,Porto5,Porto1,1
Navio154,46,9,154615,16,17,22,13,59,2008,CG,Porto4,Porto1,1
Navio155,23,13,103528,13,8,18,11,28,2022,CNTR,Porto3,Porto2,1
Navio156,41,15,45347,14,13,13,16,63,2016,CG,Porto4,Porto2,1
Navio157,17,9,192595,11,8,19,15,23,2020,GS,Porto5,Porto1,0
Navio158,18,13,42079,15,18,22,5,64,1994,GLP,Porto3,Porto2,0
Navio159,59,6,163168,10,12,27,5,73,2004,CNTR,Porto3,Porto3,0
Navio160,29,8,157351,19,15,21,14,67,1995,GLP,Porto4,Porto2,0
Navio161,47,10,114935,15,15,25,17,57,2022,GLP,Porto2,Porto2,1
Navio162,19,16,184229,16,9,10,9,21,1990,CNTR,Porto3,Porto4,0
Navio163,18,10,57203,10,16,23,17,117,1994,GS,Porto4,Porto2,0
Navio164,26,12,82859,11,14,32,10,95,2011,GS,Porto2,Porto1,1
Navio165,37,6,54263,9,13,30,19,74,2010,GS,Porto1,Porto1,1
Navio166,28,7,130670,16,9,16,9,51,2004,CNTR,Porto4,Porto1,0
Navio167,26,13,110840,19,13,14,17,27,1995,CG,Porto3,Porto5,0
Navio168,31,12,81493,9,12,11,6,27,2002,GLP,Porto1,Porto2,0
Navio169,39,11,98613,8,10,13,8,43,1993,GLP,Porto5,Porto4,0
Navio170,44,11,95591,18,14,19,9,50,2019,GS,Porto1,Porto1,1
Navio171,36,13,125662,18,18,32,11,109,2008,GL,Porto1,Porto1,1
Navio172,40,17,121329,8,9,24,14,45,1999,GS,Porto1,Porto5,0
Navio173,31,9,199282,13,19,28,14,44,1993,GSM,Porto2,Porto3,0
Navio174,34,17,84334,9,9,34,5,101,1995,GS,Porto2,Porto5,0
Navio175,48,12,182765,18,19,34,9,109,1998,GS,Porto2,Porto1,0
Navio176,55,14,157170,13,15,24,19,42,1999,GLP,Porto1,Porto1,0
Navio177,47,14,99002,8,17,28,18,34,2007,GS,Porto3,Porto2,1
Navio178,51,8,197956,11,13,19,6,19,2013,CG,Porto3,Porto3,0
Navio179,21,16,199742,16,12,29,6,101,1993,CG,Porto1,Porto1,0
Navio180,36,7,164776,8,18,12,6,55,1993,CNTR,Porto1,Porto4,0
Navio181,46,6,115262,16,9,20,14,36,1995,GS,Porto3,Porto1,0
Navio182,28,14,105378,17,13,27,11,23,2001,GL,Porto4,Porto5,0
Navio183,22,17,112670,12,15,11,15,46,2005,CG,Porto5,Porto5,0
Navio184,39,13,30819,14,16,31,11,52,2020,CNTR,Porto1,Porto2,1
Navio185,30,13,168272,19,10,32,6,34,1990,GS,Porto1,Porto1,0
Navio186,56,6,186055,17,12,27,8,58,2006,CNTR,Porto2,Porto1,0
Navio187,33,10,117801,8,17,33,8,61,1997,GS,Porto2,Porto2,0
Navio188,55,17,88203,19,15,24,19,102,2007,GLP,Porto1,Porto1,0
Navio189,30,17,100406,9,10,32,18,109,2007,GL,Porto4,Porto3,1
Navio190,26,14,125297,15,16,25,11,41,2005,GLP,Porto4,Porto2,0
Navio191,53,6,32556,10,10,28,9,42,2015,GS,Porto2,Porto2,1
Navio192,44,10,101366,14,9,28,9,54,1998,GSM,Porto5,Porto3,0
Navio193,16,11,156652,11,16,21,18,100,2005,GS,Porto1,Porto4,0
Navio194,46,13,141500,12,15,32,19,18,1991,CG,Porto4,Porto1,0
Navio195,59,8,182483,12,9,34,17,27,2018,GS,Porto4,Porto1,0
Navio196,39,10,185710,19,11,15,6,32,2017,CNTR,Porto1,Porto4,0
Navio197,39,15,95978,19,18,21,17,39,1992,GSM,Porto5,Porto5,0
Navio198,18,13,116604,13,13,16,9,10,2004,GSM,Porto2,Porto2,0
Navio199,33,11,129329,8,16,19,8,16,2014,GL,Porto1,Porto2,1
Navio200,18,6,175108,8,9,21,10,89,2014,CG,Porto5,Porto5,0
Navio201,57,10,178173,16,11,25,9,31,2009,GS,Porto3,Porto3,0
Navio202,27,15,39818,19,17,22,5,92,1995,GLP,Porto3,Porto5,0
Navio203,53,10,158590,14,9,22,6,77,2016,GL,Porto5,Porto3,0
Navio204,50,6,158269,14,18,23,6,33,2002,GS,Porto2,Porto2,0
Navio205,37,8,133400,18,10,15,6,68,2016,GLP,Porto1,Porto1,1
Navio206,20,11,179353,12,15,28,12,21,2005,GS,Porto4,Porto3,0
Navio207,38,11,159727,16,19,19,13,64,2005,CNTR,Porto1,Porto2,0
Navio208,58,9,191179,17,13,18,7,74,2011,GL,Porto2,Porto2,0
Navio209,47,6,105501,8,18,31,10,110,2019,CG,Porto3,Porto3,1
Navio210,26,6,149309,15,16,18,7,34,2012,GSM,Porto1,Porto4,1
Navio211,55,7,104296,13,13,18,8,78,1993,GSM,Porto5,Porto3,0
Navio212,35,15,103786,14,11,10,15,51,2015,CNTR,Porto1,Porto2,1
Navio213,25,15,123201,11,10,10,5,44,2005,GL,Porto1,Porto1,0
Navio214,58,8,190982,18,13,22,12,76,2015,GLP,Porto3,Porto5,0
Navio215,52,7,45199,17,12,30,8,18,1993,CG,Porto3,Porto4,0
Navio216,43,6,94473,8,16,30,14,45,2010,CNTR,Porto4,Porto2,1
Navio217,55,7,69132,12,9,31,9,116,2013,CNTR,Porto3,Porto1,1
Navio218,17,12,127485,10,8,28,18,14,1993,CG,Porto3,Porto4,0
Navio219,42,9,120503,9,16,25,6,77,2013,GS,Porto1,Porto1,1
Navio220,34,10,134721,18,16,33,19,46,1993,CNTR,Porto3,Porto2,0
Navio221,40,9,102388,15,12,32,17,76,1999,CG,Porto1,Porto1,0
Navio222,38,12,150363,9,8,22,11,22,2020,CG,Porto1,Porto2,1
Navio223,35,10,57055,8,12,27,9,73,2005,GSM,Porto5,Porto1,0
Navio224,44,8,74766,10,10,33,11,99,1990,GLP,Porto1,Porto1,0
Navio225,18,9,178828,15,15,19,6,34,2005,GSM,Porto4,Porto4,0
Navio226,50,12,181033,16,12,23,18,43,2016,GS,Porto1,Porto5,0
Navio227,54,9,169080,18,12,12,18,57,2014,GLP,Porto1,Porto4,0
Navio228,24,9,115690,16,13,10,13,58,2016,GL,Porto2,Porto3,1
Navio229,24,14,103499,8,14,19,6,54,1992,CNTR,Porto4,Porto3,0
Navio230,56,7,63671,14,11,16,5,109,1999,CG,Porto2,Porto2,0
Navio231,38,9,131045,13,15,33,7,66,2022,GS,Porto5,Porto1,1
Navio232,18,17,42151,12,8,13,19,109,2002,GL,Porto1,Porto4,0
Navio233,41,9,43816,15,17,29,15,19,2011,CNTR,Porto4,Porto1,1
Navio234,59,7,105802,12,12,16,6,57,1992,GL,Porto4,Porto5,0
Navio235,18,11,149499,8,12,11,13,14,2019,GLP,Porto5,Porto1,1
Navio236,46,9,78933,14,18,11,10,85,1998,GLP,Porto3,Porto2,0
Navio237,24,12,50913,18,13,15,14,114,2010,GSM,Porto4,Porto4,1
Navio238,25,17,45892,12,18,11,10,36,2022,CNTR,Porto3,Porto3,1
Navio239,42,10,83725,14,16,11,13,19,2018,GSM,Porto5,Porto5,1
Navio240,22,14,49319,12,19,13,13,99,1990,GL,Porto3,Porto1,0
Navio241,54,11,102120,8,13,32,6,83,2000,CNTR,Porto5,Porto5,0
Navio242,36,13,190183,10,14,15,10,38,1993,GSM,Porto1,Porto5,0
Navio243,48,16,153031,16,9,28,5,99,1991,CG,Porto1,Porto5,0
Navio244,59,16,81897,19,12,11,10,119,2015,GLP,Porto1,Porto5,0
Navio245,49,7,150457,15,19,13,5,78,2002,CNTR,Porto2,Porto4,0
Navio246,49,16,32688,16,13,23,16,40,2000,GS,Porto4,Porto5,0
Navio247,39,14,127894,18,11,12,8,57,2012,GL,Porto5,Porto5,1
Navio248,48,8,180578,14,17,25,11,43,2019,CNTR,Porto3,Porto4,0
Navio249,20,6,94451,12,14,21,19,103,2000,GS,Porto5,Porto2,0
Navio250,55,6,93228,12,16,11,10,103,1993,GSM,Porto2,Porto3,0
Navio251,51,10,164693,17,15,19,17,94,2022,CNTR,Porto3,Porto3,0
Navio252,15,8,85224,16,12,19,5,63,1999,GS,Porto2,Porto5,0
Navio253,26,17,162990,12,18,21,10,90,1995,GLP,Porto3,Porto5,0
Navio254,49,7,42933,19,15,26,18,105,2020,GSM,Porto4,Porto3,0
Navio255,20,17,140651,13,16,19,9,48,1995,CG,Porto1,Porto1,0
Navio256,31,8,169216,11,9,10,7,75,2018,CG,Porto1,Porto1,0
Navio257,23,8,84746,12,12,31,18,75,1999,GL,Porto4,Porto5,0
Navio258,16,9,126031,18,13,14,13,119,2020,GSM,Porto4,Porto3,1
Navio259,32,10,162038,19,13,21,15,40,2021,GLP,Porto1,Porto1,0
Navio260,50,16,164347,10,11,13,10,51,1991,GSM,Porto5,Porto1,0
Navio261,42,13,51151,10,16,34,8,47,2008,CNTR,Porto3,Porto3,1
Navio262,55,11,181642,15,11,22,15,52,1993,GSM,Porto5,Porto1,0
Navio263,51,7,59735,17,13,12,15,11,1995,GLP,Porto5,Porto3,0
Navio264,40,16,194597,13,11,10,14,72,2007,CNTR,Porto4,Porto4,0
Navio265,18,9,146914,10,12,14,12,15,2017,GLP,Porto1,Porto5,1
Navio266,54,7,77398,19,14,34,5,24,1997,CG,Porto3,Porto3,0
Navio267,50,6,69492,9,9,20,5,19,2021,CNTR,Porto1,Porto2,1
Navio268,45,7,106155,12,17,13,17,95,2022,GSM,Porto1,Porto3,1
Navio269,44,10,75607,12,17,21,19,77,2016,GL,Porto1,Porto4,1
Navio270,48,16,99759,9,15,19,7,40,2020,CNTR,Porto4,Porto2,1
Navio271,33,16,107007,16,14,33,19,33,2014,GL,Porto1,Porto1,1
Navio272,32,6,79165,17,13,15,18,91,2007,CNTR,Porto1,Porto2,1
Navio273,44,16,88531,19,10,11,10,20,2007,GS,Porto3,Porto2,0
Navio274,35,8,71446,10,17,13,8,57,1995,GS,Porto4,Porto1,0
Navio275,17,7,115387,13,19,20,8,65,1996,GLP,Porto5,Porto2,0
Navio276,20,9,30359,16,11,26,18,58,2018,CG,Porto2,Porto1,1
Navio277,52,7,50811,10,13,30,7,16,2010,CNTR,Porto1,Porto2,1
Navio278,27,10,109670,17,18,11,6,80,1991,GSM,Porto1,Porto1,0
Navio279,59,13,60116,12,16,13,18,31,2007,CG,Porto3,Porto3,1
Navio280,17,11,67970,19,11,23,7,45,1997,CG,Porto5,Porto4,0
Navio281,42,12,122363,17,9,14,7,117,2011,CG,Porto2,Porto4,1
Navio282,36,15,114659,14,17,18,8,37,2010,CNTR,Porto3,Porto2,1
Navio283,54,8,150762,9,14,34,7,26,2000,GL,Porto2,Porto4,0
Navio284,54,11,128384,18,18,15,9,48,1997,GL,Porto3,Porto4,0
Navio285,26,16,128844,10,15,20,16,46,1998,CNTR,Porto3,Porto2,0
Navio286,37,8,143033,14,16,10,10,17,2011,CNTR,Porto4,Porto1,1
Navio287,45,8,158869,10,9,13,8,24,2012,GLP,Porto3,Porto5,0
Navio288,32,7,140737,8,17,31,6,47,2005,GL,Porto5,Porto3,0
Navio289,21,9,185884,19,15,18,7,78,2015,GS,Porto4,Porto4,0
Navio290,22,14,187337,8,11,23,8,41,2020,GL,Porto2,Porto2,0
Navio291,33,9,164494,14,15,10,15,82,2003,CNTR,Porto4,Porto1,0
Navio292,43,6,62869,17,17,20,13,45,2012,GLP,Porto2,Porto2,1
Navio293,58,13,68587,14,12,15,14,81,1999,GL,Porto2,Porto5,0
Navio294,34,9,88747,10,9,31,19,97,2017,CNTR,Porto2,Porto4,1
Navio295,56,14,87310,11,9,18,8,68,2020,CNTR,Porto3,Porto5,1
Navio296,44,8,51497,10,16,23,17,66,2002,GS,Porto5,Porto1,0
Navio297,36,10,59755,8,18,12,6,77,2004,CG,Porto4,Porto3,0
Navio298,24,9,72170,17,10,10,15,117,2002,GL,Porto2,Porto4,0
Navio299,40,7,66114,14,8,33,12,91,2001,GS,Porto5,Porto1,0
Navio300,47,12,102204,9,16,22,6,114,2017,GSM,Porto2,Porto2,1
Navio301,42,16,32945,18,13,17,5,63,2012,CNTR,Porto2,Porto2,1
Navio302,24,16,174667,12,13,26,6,37,1992,CG,Porto1,Porto3,0
Navio303,43,11,40179,12,11,25,16,46,2016,GL,Porto2,Porto3,1
Navio304,58,16,105709,10,8,29,13,110,1992,GLP,Porto1,Porto4,0
Navio305,32,14,194624,13,9,27,7,91,1990,GL,Porto1,Porto1,0
Navio306,56,17,197686,18,15,10,5,43,2005,GLP,Porto2,Porto1,0
Navio307,15,10,53040,10,12,34,11,50,2010,GLP,Porto5,Porto3,1
Navio308,37,9,183607,11,18,10,9,119,2015,GS,Porto5,Porto5,0
Navio309,31,12,159689,10,12,21,14,50,2005,GS,Porto3,Porto3,0
Navio310,57,11,64619,11,12,20,15,93,2014,GL,Porto1,Porto3,1
Navio311,51,9,141103,16,12,16,16,41,1993,GSM,Porto5,Porto2,0
Navio312,45,13,197637,18,13,28,17,96,1998,GSM,Porto5,Porto3,0
Navio313,39,14,180728,10,14,11,6,13,2010,GL,Porto3,Porto5,0
Navio314,18,14,61343,12,16,29,12,118,1993,GS,Porto1,Porto2,0
Navio315,23,16,183668,15,12,30,18,10,2009,GL,Porto2,Porto2,0
Navio316,42,9,91531,18,12,15,8,42,2022,CG,Porto1,Porto5,1
Navio317,44,13,71741,11,18,27,17,15,1996,GLP,Porto4,Porto5,0
Navio318,38,14,127933,11,15,32,6,114,2006,CNTR,Porto5,Porto2,1
Navio319,47,11,46712,18,15,20,8,17,1997,GS,Porto3,Porto2,0
Navio320,34,13,105102,11,12,22,15,79,2013,CNTR,Porto1,Porto2,1
Navio321,23,8,186812,14,13,19,18,25,2010,CG,Porto3,Porto5,0
Navio322,22,13,122392,10,15,27,14,119,1992,GS,Porto4,Porto1,0
Navio323,38,14,37696,13,12,13,8,98,2021,GL,Porto2,Porto4,1
Navio324,28,6,185926,16,17,18,17,116,2016,CNTR,Porto2,Porto4,0
Navio325,32,13,91797,15,13,12,7,85,1996,GL,Porto5,Porto3,0
Navio326,15,10,169515,19,17,20,17,74,2003,GSM,Porto1,Porto5,0
Navio327,26,14,33962,11,9,16,12,43,2020,GS,Porto4,Porto2,1
Navio328,43,10,39124,11,12,10,19,44,2013,CG,Porto1,Porto1,1
Navio329,51,10,54299,15,8,14,15,42,1994,GS,Porto1,Porto3,0
Navio330,40,16,140779,19,9,14,18,72,1998,CNTR,Porto3,Porto3,0
Navio331,47,6,139602,10,11,22,18,56,2006,GS,Porto5,Porto2,1
Navio332,57,10,183990,10,17,10,18,66,1991,CNTR,Porto5,Porto5,0
Navio333,29,16,194184,8,10,29,8,76,2006,GLP,Porto1,Porto4,0
Navio334,37,14,88956,15,8,13,6,66,1994,GLP,Porto1,Porto1,0
Navio335,43,6,93071,18,15,32,8,41,2016,GS,Porto4,Porto2,1
Navio336,35,6,138080,19,18,17,17,90,2001,CG,Porto1,Porto1,0
Navio337,33,10,148565,8,10,32,13,80,1995,GS,Porto5,Porto5,0
Navio338,19,13,131834,17,17,33,8,20,2020,GLP,Porto3,Porto5,1
